Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,11268.4200640121,11209.4211248688,11361.5167707179,11699.3704685216,12512.5779652212,13822.7417486972,15199.3902245225,16770.6877710938,17092.3145143461,15885.9698073832,16056.1168470231,16459.0580537494,16250.0123292058,16452.1527077588,16488.5257320926,16558.8647849868
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,1276.2880341,1244.37318523431,1479.31458271677,1819.76605926177,2378.62328600741,3125.81053502853,3847.43412382153,4735.65760793999,6377.36973201232,5352.5839116007,6033.6862392722,6527.17386871642,6953.13251493684,7998.12523878099,8341.39967861093,5967.05220384914
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,23098.8865077401,23015.0712632462,25006.191397109,30655.2092679024,35429.4077933344,36809.7013403619,38705.1067959147,44319.165448813,48303.397956286,44760.2912443709,44184.946353964,47410.5669277464,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3364.49173102584,3417.09022428717,3553.12137753665,3677.15200183116,3824.92738226594,3916.35537819234,4157.19303528438,4290.90144499547,4408.38293123624,4196.99503148366,4304.11110815138,4441.73875473964,4530.60480052994,4575.68095648484,4744.10894523227,4805.19685237279
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,512.673901962619,518.067474134696,574.929798155789,711.284954771847,798.744304503809,822.785143124704,856.054916559873,966.203618310158,1125.42613398072,1088.75790573459,1036.53451502404,1130.27325128015,1145.14010479477,1251.20976745379,1291.41018480579,1076.79669785585
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270035,70359.3191088798,75882.0338560339,95221.8588720301,104287.387498459,106935.486341979,101407.764031934,101875.28407346,97774.1620717428,98431.8651810241,99471.6388978631,98467.683993982,102005.62564189
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,718.196336969414,764.432808246182,845.500672103578,962.095371307745,1068.43181141275,1228.43235572338,1330.97744400874,1757.19049597895,1828.1546768491,1819.19730959964,2258.18643535953,2563.261223801,2538.94951919964,2472.72475320595,2652.22565438023,2752.63017233678
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,997.581750795456,948.870204281826,904.225791906036,907.537409937411,967.406459987634,1034.31180576725,1218.87407426264,1372.62837376384,1715.20839539465,1754.20946663836,1955.460180975,2346.3378439235,2609.88056208632,2908.200370948,3081.87882365163,3035.97165495107
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,1484.17605712863,1544.60207235926,1789.85769192163,2258.94644489051,2698.46718002684,2980.60126667992,3416.51237636652,4193.36800523416,5090.94582526073,4714.69373721219,4635.5102002738,5092.55472521264,4777.06691952937,5129.6635340307,5330.35507751851,4729.69005416208
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,3522.3108214571,3278.01607934706,3190.62481146154,4330.97236855283,5073.52040802149,5513.33106259322,5521.99060810445,5832.73705168476,5713.54393106428,5255.77653269313,6434.81248526822,7617.31004132551,7050.57347186681,7224.91273728564,7495.22086608805,6402.91018338391
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3749.91084752888,3160.24934491441,2839.49150108966,3070.43641941942,3637.3138901512,4790.45656586131,5886.39152194816,7348.18796290712,8831.18364277674,8597.79433526264,11286.071540212,13245.387369564,12370.2232548476,12300.3867121004,12112.8349554875,8813.98980647828
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB, , , , , , , , , , , , , , , , 
