Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guinea","GIN","51.203","51.255","51.484","51.901","52.499","53.238","54.052","54.864","55.614","56.279","56.861","57.387","57.905","58.447","59.016","59.598","60.17","60.706","61.185","61.602","61.962"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guinea-Bissau","GNB","50.368","50.744","51.123","51.501","51.883","52.275","52.691","53.136","53.612","54.113","54.628","55.144","55.645","56.117","56.556","56.959","57.328","57.673","58.003","58.322","58.634"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guyana","GUY","65.242","65.532","65.828","66.122","66.412","66.694","66.972","67.247","67.521","67.792","68.059","68.321","68.575","68.819","69.049","69.262","69.454","69.624","69.774","69.906","70.023"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","57.131","57.382","57.655","57.959","58.292","58.652","59.028","59.408","59.782","60.148","60.511","60.879","61.26","61.658","62.069","62.485","62.896","63.29","63.66","64.001","64.315"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Honduras","HND","70.689","70.976","71.249","71.511","71.77","72.026","72.285","72.544","72.803","73.061","73.317","73.569","73.814","74.051","74.278","74.495","74.701","74.898","75.088","75.27","75.448"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Hong Kong SAR, China","HKG","80.8780487804878","81.4243902439025","81.4268292682927","81.3780487804878","81.8292682926829","81.6292682926829","82.3756097560976","82.3268292682927","82.3756097560976","82.7756097560976","82.9780487804878","83.4219512195122","83.4804878048781","83.8317073170732","83.9804878048781","84.2780487804878","84.2268292682927","84.6804878048781","84.9341463414634","85.0780487804878","85.3878048780488"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Hungary","HUN","71.2463414634146","72.2487804878049","72.3487804878049","72.3","72.6487804878049","72.6487804878049","73.0975609756098","73.1512195121951","73.7024390243903","73.9048780487805","74.2073170731707","74.8585365853659","75.0634146341463","75.5658536585366","75.7634146341463","75.5682926829269","76.0634146341464","75.8170731707317","76.0658536585366","76.3195121951219","75.6170731707317"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iceland","ISL","79.6536585365854","80.690243902439","80.5024390243903","80.9634146341464","80.9975609756098","81.5024390243902","81.1585365853659","81.4536585365854","81.609756097561","81.7512195121951","81.8975609756097","82.3585365853659","82.9170731707317","82.0609756097561","82.8609756097561","82.4682926829268","82.2048780487805","82.6609756097561","82.8609756097561","83.1634146341463","83.0658536585366"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","India","IND","62.505","62.907","63.304","63.699","64.095","64.5","64.918","65.35","65.794","66.244","66.693","67.13","67.545","67.931","68.286","68.607","68.897","69.165","69.416","69.656","69.887"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Indonesia","IDN","65.772","66.037","66.321","66.631","66.969","67.334","67.717","68.105","68.485","68.853","69.205","69.542","69.866","70.179","70.481","70.768","71.035","71.282","71.509","71.716","71.908"
